ShortName;Title;Year;FirstAuthor;SecondAuthor;ThirdAuthor;Journal;;ClaimsTags;REFnr;Vancouver-style reference;Abstract;LLM_Summary;DOI
Ahuja_2023;;2023;Ahuja;;;Allergy;;;;;;;10.1111/all.15641
Ahuja_2023;Berotralstat for the prophylaxis of hereditary angioedema—Real‑world evidence data from the United Kingdom;2023;Ahuja;Dorr;Bode;Allergy;;;Ahuja M, Dorr A, Bode E, et al. Berotralstat for the prophylaxis of hereditary angioedema—Real‑world evidence data from the United Kingdom. Allergy. 2023;78(5):1380‑1383.;No formal abstract available (brief correspondence).;UK real‑world analysis of 73 HAE patients receiving once‑daily oral berotralstat via the IOS registry showed attack‑rate reductions and tolerability comparable to international data, supporting effectiveness in routine care.;10.1111/all.15641
Betschel_2019;The International/Canadian Hereditary Angioedema Guideline;2019;Betschel;Badiou;Binkley;Allergy Asthma and Clinical Immunology;;;Betschel S, Badiou J, Binkley K, et al. The International/Canadian Hereditary Angioedema Guideline. Allergy Asthma Clin Immunol. 2019;15:72.;This is an update to the 2014 Canadian Hereditary Angioedema Guideline with an expanded scope to include the management of hereditary angioedema (HAE) patients worldwide. It is a collaboration of Canadian and international HAE experts and patient groups led by the Canadian Hereditary Angioedema Network. The objective of this guideline is to provide evidence based recommendations, using the GRADE system, for the management of patients with HAE. This includes the treatment of attacks, short term prophylaxis, long term prophylaxis, and recommendations for self administration, individualized therapy, quality of life, and comprehensive care. New to the 2019 version are sections covering the diagnosis and recommended therapies for acute treatment in HAE patients with normal C1 INH, as well as sections on pregnant and paediatric patients, patient associations and an HAE registry. Hereditary angioedema causes unpredictable attacks of painful swelling that impair quality of life and can be fatal in laryngeal episodes. Care remains variable worldwide; this guideline aims to optimise and individualise management.;Comprehensive 2019 update employing GRADE methodology 28 recommendations spanning diagnosis therapy quality of life and individualized care extending guidance beyond Canada.;10.1186/s13223-019-0376-8
Cassano_2021;;2021;Cassano;;;Clinical and Molecular Allergy;;;;;Abstract                 Background                 Dipeptidyl peptidase-IV (DPP-IV) inhibitors, also known as gliptins, are a class of oral antidiabetic agents. Postmarketing reports have documented the occurrence of angioedema in patients treated with gliptins and it was found that these drugs increased the risk of angioedema in patients concurrently treated with angiotensin-converting enzyme inhibitors (ACEIs). The aim of this manuscript is to provide an overview of the risk of angioedema associated with gliptins.                                Methods                 The keywords used for the literature search in the PubMed database included “angioedema” and “dipeptidyl peptidase”, “gliptins”, or the name of each DPP-IV inhibitor. Articles in English published up to December 2020 were taken into consideration.                                Results                 The available data appear to rule out a higher risk of angioedema associated with gliptin monotherapy and have revealed an increased susceptibility in patients simultaneously treated with gliptins and ACEIs. However, one single multicenter phase IV trial and case reports, even if very limited in number, have shown that angioedema can also occur during treatment with DPP-IV inhibitors without the concomitant use of ACEIs. The involvement of other drugs and drug interactions has occasionally been suggested. In a few patients, deficiency of enzymes involved in bradykinin catabolism was detected and this finding can constitute a risk factor for angioedema exacerbated by treatment with DPP-IV inhibitors.                                Conclusions                 This risk of angioedema associated with the use of gliptins has mostly been related to the concurrent administration of ACEIs, and has been considered rare, but it might be underestimated and underreported. The role of additional risk factors or drug interactions deserves further investigations. Caution should be taken when considering the use of DPP-IV inhibitors in patients treated with ACEIs or presenting with other known risk factors for angioedema.;;10.1186/s12948-021-00164-7
Cicardi_Acquired_2010;Icatibant, a New Bradykinin-Receptor Antagonist, in Hereditary Angioedema;2010;Cicardi;;;The New England Journal of Medicine;;guideline;;;;;10.1056/NEJMoa0906393
Busse_2022;Specific Targeting of Plasma Kallikrein for Treatment of Hereditary Angioedema: A Revolutionary Decade;2022;Busse;Kaplan;;The Journal of Allergy and Clinical Immunology: In Practice;;;Busse P, Kaplan A. Specific Targeting of Plasma Kallikrein for Treatment of Hereditary Angioedema: A Revolutionary Decade. J Allergy Clin Immunol Pract. 2022;10(3):716-722.;Hereditary angioedema (HAE) is a rare chronic genetic disease characterised by non‑pruritic swelling of the skin, airway, gastrointestinal and genitourinary tracts. Type I and II HAE result from SERPING1 mutations causing C1 inhibitor dysfunction and excessive bradykinin generation, whereas HAE with normal C1 inhibitor has other genetic mechanisms. Plasma kallikrein inhibitors inhibit the kallikrein‑kinin pathway to prevent or treat HAE attacks; most are injectable but oral formulations are emerging. This review summarises the pathophysiology of HAE and traces a decade of development of kallikrein‑targeted therapies, describing mechanisms, efficacy, safety and future directions.;Overview of the last decade's progress with kallikrein inhibitors lanadelumab berotralstat ecallantide and emerging oral or subcutaneous drugs. Summarises clinical evidence safety profiles and future research directions.;10.1016/j.jaip.2021.11.011
Cross_2024;;2024;Cross;;;European Medical Journal;;;;;Modern targeted prophylaxis is recommended for patients with hereditary angioedema (HAE), but many remain on attenuated androgens. EMJ spoke to two HAE experts who explain how they help patients to make the switch.;;10.33590/emj/10307646
Caballero_2012;International consensus and practical guidelines on the gynecologic and obstetric management of female patients with hereditary angioedema caused by C1 inhibitor deficiency;2012;Caballero;Farkas;Bouillet;Journal of Allergy and Clinical Immunology;;;Caballero T, Farkas H, Bouillet L, et al. International consensus and practical guidelines on the gynecologic and obstetric management of female patients with hereditary angioedema caused by C1 inhibitor deficiency. J Allergy Clin Immunol. 2012;129(2):308-320.;Background: Evidence on managing gynecologic and obstetric events in women with HAE due to C1 inhibitor deficiency (HAE C1 INH) is scarce. Objective: To develop practical guidance for these situations. Methods: Expert round‑table plus literature review. Results: Estrogens should be avoided; barrier methods, intrauterine devices and progestins are acceptable. Plasma‑derived C1 inhibitor is preferred for acute treatment and prophylaxis during pregnancy and delivery; tranexamic acid or virally inactivated plasma are alternatives where C1 inhibitor is unavailable. Regional anaesthesia is favoured over general anaesthesia in childbirth; prophylactic C1 inhibitor is advised before operative delivery. Additional recommendations cover infertility, lactation, menopause therapy and hormone sensitive cancers. Conclusions: These consensus guidelines provide practical management strategies for female patients with HAE C1 INH across the reproductive lifespan.;Condition‑specific guidance for women with HAE across reproductive life stages recommending plasma‑derived C1‑INH for treatment and prophylaxis regional anaesthesia during labour and careful risk management for hormonal interventions.;10.1016/j.jaci.2011.11.025
Cicardi_Acquired_2010;Icatibant, a new bradykinin‑receptor antagonist, in hereditary angioedema;2010;Cicardi;Banerji;Bracho;The New England Journal of Medicine;;;Cicardi M, Banerji A, Bracho F, et al. Icatibant, a new bradykinin‑receptor antagonist, in hereditary angioedema. N Engl J Med. 2010;363(6):532‑541.;Background Hereditary angioedema (HAE) is characterised by recurrent swelling driven by bradykinin. Two randomised FAST trials compared a single 30 mg subcutaneous dose of icatibant with placebo or tranexamic acid in 130 acute cutaneous/abdominal attacks. Results Icatibant reduced median time to clinically significant relief to ≈2 h versus 4.6 h with placebo and 12 h with tranexamic acid and was well‑tolerated.;Pivotal phase 3 FAST‑1/2 trials demonstrate that bradykinin B2‑antagonist icatibant offers rapid, clinically meaningful relief of acute HAE attacks and a favourable safety profile, underpinning subsequent approvals.;10.1056/NEJMoa0906393
Guryanova_2021;;2021;Guryanova;;;Clinical and Molecular Allergy;;;;;"Abstract                 Background                 Hereditary angioedema due to C1 inhibitor deficiency (C1-INH-HAE) is a rare disease. Few states in developing countries have an adequate management of HAE, but none of them belongs to the former USSR area. This study analyses data from C1-INH-HAE patients from Belarus.                                Methods                 Data about clinical characteristics, genetics, access to diagnosis and treatment were collected from 2010 by the Belarusian Research Center for Pediatric Oncology, Hematology and Immunology in Minsk. A questionnaire about attacks, prophylactic (LTP) and on-demand therapy (ODT) was administered to patients.                                Results                 We identified 64 C1-INH-HAE patients belonging to 26 families, 27 (42.2%) of which were diagnosed in the last 3 years. The estimated minimal prevalence was 1:148,000. Median age at diagnosis was 29 years, with diagnostic delay of 19 years. Thirty-eight patients answered a questionnaire about therapy. Eleven patients did not use any treatment to resolve HAE attacks. Twenty-seven patients underwent ODT: 9 with appropriate treatments, and 18 with inappropriate treatments. Nine patients used LTP with attenuated androgens and 1 with tranexamic acid. Thirty-two patients answered a questionnaire about attacks and triggers: 368 angioedema attacks were reported, with an average of 10 attacks per year. We found 24 different SERPING1 variants: 9 missenses, 6 in splice sites, 6 small deletions, 2 nonsense, 1 large deletion; 7 have not been previously described. De novo variants were found in 11 patients.                                Conclusions                 C1-INH-HAE diagnosis and management in Belarus is improved as seen from the high number of new diagnosis in the last 3 years. Next steps will be to reduce the diagnostic delay and to promote the LTP and ODT.";;10.1186/s12948-021-00141-0
HAE_info_swedish_sources;;2024;;;;GreyLit;;grey_lit;;;;;N/A
Cassano_2021;Angioedema associated with dipeptidyl peptidase-IV inhibitors;2021;Cassano;Nettis;Di Leo;Clinical and Molecular Allergy;;;Cassano N, Nettis E, Di Leo E, et al. Angioedema associated with dipeptidyl peptidase-IV inhibitors. Clin Mol Allergy. 2021;19(1):24.;Background: Dipeptidyl peptidase IV (DPP‑IV) inhibitors, or gliptins, are oral antidiabetic agents. Post‑marketing data indicate an increased risk of angioedema, especially when combined with angiotensin‑converting enzyme inhibitors (ACEIs). Methods: PubMed literature search to December 2020. Results: Gliptin monotherapy shows minimal angioedema risk, but susceptibility rises markedly with concurrent ACEIs; rare cases occur without ACEIs, with other drugs or bradykinin‑catabolism defects as possible factors. Conclusions: Angioedema with gliptins is rare yet probably under‑reported; clinicians should exercise caution, particularly in patients receiving ACEIs.;Systematic review concludes gliptins rarely cause angioedema alone but risk rises with ACE inhibitors highlights under‑reporting and recommends vigilance and personalized risk assessment.;10.1186/s12948-021-00164-7
Cross_2024;Transitioning patients from second‑ to first‑line prophylaxis in hereditary angioedema;2024;Cross;Gurugama;Launay;European Medical Journal;;;Cross CE, Gurugama P, Launay D. Transitioning patients from second‑ to first‑line prophylaxis in hereditary angioedema. EMJ. 2024;9(1):22‑27.;Interview‑based article highlighting strategies, barriers and real‑world experiences when switching HAE patients from attenuated androgens to modern kallikrein‑targeted prophylaxis such as berotralstat or lanadelumab.;Discussion of guideline recommendations, taper/overlap approaches and the need for consensus and patient‑centred transition plans to optimise quality of life.;10.33590/emj/10307646
Maurer_EAACI_2022;The international WAO/EAACI guideline for the management of hereditary angioedema—The 2021 revision and update;2022;Maurer;;;Allergy;;;;;AbstractHereditary angioedema (HAE) is a rare and disabling disease for which early diagnosis and effective therapy are critical. This revision and update of the global WAO/EAACI guideline on the diagnosis and management of HAE provides up‐to‐date guidance for the management of HAE. For this update and revision of the guideline, an international panel of experts reviewed the existing evidence, developed 28 recommendations, and established consensus by an online DELPHI process. The goal of these recommendations and guideline is to help physicians and their patients in making rational decisions in the management of HAE with deficient C1 inhibitor (type 1) and HAE with dysfunctional C1 inhibitor (type 2), by providing guidance on common and important clinical issues, such as: (1) How should HAE be diagnosed? (2) When should HAE patients receive prophylactic on top of on‐demand treatment and what treatments should be used? (3) What are the goals of treatment? (4) Should HAE management be different for special HAE patient groups such as children or pregnant/breast‐feeding women? and (5) How should HAE patients monitor their disease activity, impact, and control? It is also the intention of this guideline to help establish global standards for the management of HAE and to encourage and facilitate the use of recommended diagnostics and therapies for all patients.;;10.1111/all.15214
Geba_2021;Hereditary angioedema patients would prefer newer‑generation oral prophylaxis;2021;Geba;Mohd Sani;Gascon;Journal of Drug Assessment;;;Geba D, Mohd Sani J, Gascon M, et al. Hereditary angioedema patients would prefer newer‑generation oral prophylaxis. J Drug Assess. 2021;10(1):51‑56.;Objective Online survey (n = 75 US adults) explored treatment preferences in HAE. Results Injectable prophylaxis was viewed as burdensome; 98 % of users and 96 % of non‑users would prefer an oral agent; convenience and reduced treatment burden were key drivers.;Survey shows strong patient preference for future oral long‑term prophylaxis, supporting development/adoption of oral kallikrein inhibitors to improve adherence and quality of life.;10.1080/21556660.2020.1863699
Orladeyo_SmPC;;2023;;;;EMA SmPC;;grey_lit;;;;;N/A
Pagnier_2024;Hereditary angioedema in children: Review and practical perspective for clinical management;2024;Pagnier;;;Pediatric Allergy and Immunology;;;;;AbstractBackgroundHereditary angioedema (HAE) in children has specific features and requires multidisciplinary management.MethodsWe performed a literature search and underwent in‐depth discussions to provide practical tools for physicians.ResultsHAE is a rare, life‐threatening genetic disorder. Its epidemiology is poorly documented in children. Clinical manifestations usually appear during childhood or early adolescence. Classical signs, often preceded by prodromal symptoms, include transient, localized, non‐pitting, non‐pruritic swelling of deep dermal/subcutaneous or mucosal/submucosal tissues, leading to oedema of the extremities, face, lips, tongue, trunk and genitals, recurring gastrointestinal symptoms and laryngeal edema possibly causing asphyxiation and death. Diagnosis is often delayed due to low awareness in the medical community, and particularly challenging in case of isolated abdominal crises or atypical presentation and in neonates or infants. It relies on biological tests (measurement of serum/plasma levels of C1INH function, C1INH protein, and C4), genetic testing in selected cases, and imaging for differential diagnosis of acute abdominal crises. Main differential diagnosis for peripheral oedema is mast cell‐mediated oedema that accounts for 95% of angioedema in clinical practice. Quality of life can be significantly impaired. Disease management includes treatment of attacks, short‐term and long‐term prophylaxis, psychological support, avoidance of triggers, patients’ and parents’ education and coordination of all stakeholders, ideally within a specialized healthcare network. New plasma kallikrein inhibitors, namely lanadelumab (subcutaneous route) and berotralstat (oral route) have facilitated long‐term prophylaxis thanks to improved usability.ConclusionDiagnostic and treatment of HAE are particularly challenging in children and require specific management by multiple stakeholders.;;10.1111/pai.14268
Peter_2023;;2023;Peter;;;World Allergy Organization Journal;;;;;;;10.1016/j.waojou.2023.100841
Grivčeva-Panovska_2018;Hereditary angioedema due to C1‑inhibitor deficiency in Macedonia: clinical characteristics, novel SERPING1 mutations and genetic factors modifying phenotype;2018;Grivčeva‑Panovska;Košnik;Korošec;Annals of Medicine;;;Grivčeva‑Panovska V, Košnik M, Korošec P, et al. Hereditary angioedema due to C1‑inhibitor deficiency in Macedonia: clinical characteristics, novel SERPING1 mutations and genetic factors modifying the clinical phenotype. Ann Med. 2018;50(3):269‑276.;Nation‑wide study of 15 Macedonian C1‑INH‑HAE patients identified five SERPING1 mutations (two novel) and correlated genotype with clinical severity; pooled regional analysis suggested nonsense/frameshift/splice defects confer higher severity scores and F12‑46C/T CC polymorphism predicts earlier onset.;Adds epidemiological and genetic data from South‑Eastern Europe, reinforcing genotype‑phenotype associations and highlighting novel SERPING1 variants.;10.1080/07853890.2018.1449959
