ShortName;Title;Year;FirstAuthor;SecondAuthor;ThirdAuthor;Journal;;ClaimsTags;REFnr;Vancouver-style reference;Abstract;LLM_Summary;DOI
Ahuja_2023;;2023;Ahuja;;;Allergy;;;;;;;10.1111/all.15641
Betschel_2019;;2019;Betschel;;;"Allergy, Asthma &amp; Clinical Immunology";;;;;AbstractThis is an update to the 2014 Canadian Hereditary Angioedema Guideline with an expanded scope to include the management of hereditary angioedema (HAE) patients worldwide. It is a collaboration of Canadian and international HAE experts and patient groups led by the Canadian Hereditary Angioedema Network. The objective of this guideline is to provide evidence-based recommendations, using the GRADE system, for the management of patients with HAE. This includes the treatment of attacks, short-term prophylaxis, long-term prophylaxis, and recommendations for self-administration, individualized therapy, quality of life, and comprehensive care. New to the 2019 version of this guideline are sections covering the diagnosis and recommended therapies for acute treatment in HAE patients with normal C1-INH, as well as sections on pregnant and paediatric patients, patient associations and an HAE registry. Hereditary angioedema results in random and often unpredictable attacks of painful swelling typically affecting the extremities, bowel mucosa, genitals, face and upper airway. Attacks are associated with significant functional impairment, decreased health-related quality of life, and mortality in the case of laryngeal attacks. Caring for patients with HAE can be challenging due to the complexity of this disease. The care of patients with HAE in Canada, as in many countries, continues to be neither optimal nor uniform. It lags behind some other countries where there are more organized models for HAE management, and greater availability of additional licensed therapeutic options. It is anticipated that providing this guideline to caregivers, policy makers, patients, and advocates will not only optimize the management of HAE, but also promote the importance of individualized care. The primary target users of this guideline are healthcare providers who are managing patients with HAE. Other healthcare providers who may use this guideline are emergency and intensive care physicians, primary care physicians, gastroenterologists, dentists, otolaryngologists, paediatricians, and gynaecologists who will encounter patients with HAE and need to be aware of this condition. Hospital administrators, insurers and policy makers may also find this guideline helpful.;;10.1186/s13223-019-0376-8
Busse_2022;;2022;Busse;;;The Journal of Allergy and Clinical Immunology: In Practice;;;;;;;10.1016/j.jaip.2021.11.011
Caballero_2012;;2012;Caballero;;;Journal of Allergy and Clinical Immunology;;;;;;;10.1016/j.jaci.2011.11.025
Cassano_2021;;2021;Cassano;;;Clinical and Molecular Allergy;;;;;Abstract                 Background                 Dipeptidyl peptidase-IV (DPP-IV) inhibitors, also known as gliptins, are a class of oral antidiabetic agents. Postmarketing reports have documented the occurrence of angioedema in patients treated with gliptins and it was found that these drugs increased the risk of angioedema in patients concurrently treated with angiotensin-converting enzyme inhibitors (ACEIs). The aim of this manuscript is to provide an overview of the risk of angioedema associated with gliptins.                                Methods                 The keywords used for the literature search in the PubMed database included “angioedema” and “dipeptidyl peptidase”, “gliptins”, or the name of each DPP-IV inhibitor. Articles in English published up to December 2020 were taken into consideration.                                Results                 The available data appear to rule out a higher risk of angioedema associated with gliptin monotherapy and have revealed an increased susceptibility in patients simultaneously treated with gliptins and ACEIs. However, one single multicenter phase IV trial and case reports, even if very limited in number, have shown that angioedema can also occur during treatment with DPP-IV inhibitors without the concomitant use of ACEIs. The involvement of other drugs and drug interactions has occasionally been suggested. In a few patients, deficiency of enzymes involved in bradykinin catabolism was detected and this finding can constitute a risk factor for angioedema exacerbated by treatment with DPP-IV inhibitors.                                Conclusions                 This risk of angioedema associated with the use of gliptins has mostly been related to the concurrent administration of ACEIs, and has been considered rare, but it might be underestimated and underreported. The role of additional risk factors or drug interactions deserves further investigations. Caution should be taken when considering the use of DPP-IV inhibitors in patients treated with ACEIs or presenting with other known risk factors for angioedema.;;10.1186/s12948-021-00164-7
Christiansen_2024;;2024;Christiansen;;;"Annals of Allergy, Asthma &amp; Immunology";;;;;;;10.1016/j.anai.2024.12.012
Cicardi_Acquired_2010;Icatibant, a New Bradykinin-Receptor Antagonist, in Hereditary Angioedema;2010;Cicardi;;;The New England Journal of Medicine;;guideline;FIXME;;;;10.1056/NEJMoa0906393
Craig_2018;;2018;Craig;;;"Annals of Allergy, Asthma &amp; Immunology";;;;;;;10.1016/j.anai.2018.07.025
Cross_2024;;2024;Cross;;;European Medical Journal;;;;;Modern targeted prophylaxis is recommended for patients with hereditary angioedema (HAE), but many remain on attenuated androgens. EMJ spoke to two HAE experts who explain how they help patients to make the switch.;;10.33590/emj/10307646
Farkas_2021;;2021;Farkas;;;Clinical and Translational Allergy;;;;;"AbstractBackgroundBerotralstat (BCX7353) is an oral, once‐daily inhibitor of plasma kallikrein recently approved for prevention of angioedema attacks in adults and adolescents with hereditary angioedema (HAE). The objective of this report is to summarize results from an interim analysis of an ongoing long‐term safety study of berotralstat in patients with HAE.MethodsAPeX‐S is an ongoing, phase 2, open‐label study conducted in 22 countries (ClinicalTrials.gov, NCT03472040). Eligible patients with a clinical diagnosis of HAE due to C1 inhibitor deficiency (HAE‐C1‐INH) were centrally allocated to receive berotralstat 150 or 110 mg once daily. The primary objective was to determine long‐term safety and the secondary objective was to evaluate effectiveness.ResultsEnrolled patients (N = 227) received berotralstat 150 mg (n = 127) or 110 mg (n = 100) once daily. The median (range) duration of exposure was 342 (11–540) and 307 (14–429) days for the 150‐mg and 110‐mg groups, respectively. Treatment‐emergent adverse events (TEAEs) occurred in 91% (n = 206) of patients. The most common TEAEs across treatment groups were upper respiratory tract infection (n = 91, 40%), abdominal pain (n = 57, 25%), headache (n = 40, 18%), and diarrhea (n = 31, 14%) and were mostly mild to moderate. Fifty percent (n = 113) of patients had at least one drug‐related adverse event (AE; 150 mg, n = 57 [45%]; 110 mg, n = 56 [56%]), and discontinuations due to AEs occurred in 19 (8%) patients (150 mg, n = 13 [10%]; 110 mg, n = 6 [6%]). Three (1.3%) patients experienced a drug‐related serious TEAE. Among patients who received berotralstat through 48 weeks (150 mg, n = 73; 110 mg, n = 30), median HAE attack rates were low in month 1 (150 mg, 1.0 attacks/month; 110 mg, 0.5 attacks/month) and remained low through 12 months (0 attacks/month in both dose groups). Mean HAE attack rates followed a similar trend, and no evidence for patient tolerance to berotralstat emerged. In both dose groups, angioedema quality of life scores showed clinically meaningful changes from baseline.ConclusionsIn this analysis, both berotralstat doses, 150  and 110 mg once daily, were generally well tolerated. Effectiveness results support the durability and robustness of berotralstat as prophylactic therapy in patients with HAE.Trial registrationThe study is registered with ClinicalTrials.gov (NCT03472040).";;10.1002/clt2.12035
